                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5112,                 3.6922,                 1.4097,                      1,                0.08607,                0.51491,                0.31421,                 1.3739,                 3.3189,                 1.2934,               0.070789,              0.0032456,              0.0032456
                      1,                 1.4581,                 1.9486,                 1.2691,                0.96557,                0.41242,                0.72171,                0.35829,                 1.4706,                 2.6826,                 1.2932,               0.040746,              0.0065355,              0.0065355
                      2,                 1.5174,                 1.7123,                 1.3011,                0.88421,                0.56155,                0.63302,                0.31313,                 1.6085,                 2.2759,                 1.5101,               0.010659,              0.0097814,              0.0097814
                      3,                 1.5418,                 1.5852,                 1.3258,                0.68987,                0.51471,                0.57051,                0.28682,                 1.6922,                 2.0636,                  1.552,               0.009802,               0.009802,               0.009802
                      4,                 1.5251,                 1.5426,                 1.3164,                0.70588,                0.73529,                0.74604,                0.37516,                 1.6443,                 1.7378,                 1.5361,               0.009802,               0.009802,               0.009802
                      5,                 1.4879,                 1.4561,                 1.3016,                0.64818,                0.63235,                0.68152,                 0.3464,                 1.6619,                 1.8399,                 1.4257,               0.009736,               0.009736,               0.009736
                      6,                 1.4994,                 1.3966,                 1.2868,                0.63292,                0.60294,                0.66024,                0.28415,                  1.785,                 1.9189,                 1.4625,                0.00967,                0.00967,                0.00967
                      7,                  1.482,                 1.3398,                 1.2848,                0.60685,                0.69118,                0.64836,                0.31962,                 1.6303,                 2.4233,                 1.4825,               0.009604,               0.009604,               0.009604
                      8,                 1.4668,                 1.2761,                 1.3084,                0.77695,                   0.75,                0.79222,                0.41718,                 1.6561,                 1.8254,                  1.536,               0.009538,               0.009538,               0.009538
                      9,                  1.424,                 1.2056,                 1.2899,                0.79036,                0.64706,                0.74502,                 0.3501,                 1.8394,                 1.3698,                 1.6373,               0.009472,               0.009472,               0.009472
                     10,                 1.4313,                  1.196,                 1.2819,                0.87853,                0.63825,                0.79315,                0.42134,                 1.5789,                 1.3184,                 1.4558,               0.009406,               0.009406,               0.009406
                     11,                 1.3837,                 1.1515,                 1.2637,                0.81399,                0.70792,                0.79876,                0.38973,                 1.7414,                 1.3906,                 1.6187,                0.00934,                0.00934,                0.00934
                     12,                 1.3624,                 1.1295,                 1.2525,                0.70586,                0.79412,                0.80511,                0.39297,                 1.6883,                 1.3155,                 1.5977,               0.009274,               0.009274,               0.009274
                     13,                 1.3997,                 1.0815,                 1.2764,                0.75093,                0.75379,                0.77663,                0.37798,                   1.71,                 1.1724,                 1.6054,               0.009208,               0.009208,               0.009208
                     14,                 1.3341,                 1.0089,                  1.241,                0.77495,                0.70588,                0.74324,                0.40734,                 1.7111,                 1.2087,                 1.5824,               0.009142,               0.009142,               0.009142
                     15,                  1.336,                 1.0016,                 1.2328,                0.83852,                0.76365,                0.82455,                 0.4474,                 1.6172,                 1.1014,                 1.4962,               0.009076,               0.009076,               0.009076
